latitude,longitude,turbidez,clorofila,data,B2,B3,B4,B5,B8,B11,NDCI,NDVI,FAI,MNDWI,B3_B2_ratio,B4_B3_ratio,B5_B4_ratio,Image_Date,Cloud_Percentage,Month,Season
-18.48928,-45.42733,1.3,,2020-02-20,281.0,405.0,148.0,109.0,63.0,19.0,-0.1517509727626459,-0.4028436018957346,-62.06666666666666,0.910377358490566,1.4412811387900355,0.3654320987654321,0.7364864864864865,2020-03-17,4.889838,3.0,2.0
-18.22376,-45.26183,2.3,,2020-02-21,269.0,365.0,110.0,88.0,51.0,24.0,-0.1111111111111111,-0.36645962732919257,-43.71111111111111,0.8766066838046273,1.3568773234200744,0.3013698630136986,0.8,2020-03-17,4.889838,3.0,2.0
-18.88812,-45.20045,5.65,,2020-05-07,325.0,458.0,201.0,142.0,60.0,22.0,-0.17201166180758018,-0.5402298850574713,-109.17777777777778,0.9083333333333333,1.4092307692307693,0.4388646288209607,0.7064676616915423,2020-05-11,0.120411,5.0,2.0
-18.89833,-45.12083,6.6,,2020-05-07,260.0,401.0,155.0,101.0,42.0,17.0,-0.2109375,-0.5736040609137056,-88.46666666666667,0.9186602870813397,1.5423076923076924,0.3865336658354115,0.6516129032258065,2020-05-11,0.120411,5.0,2.0
-18.8325,-45.13306,6.73,,2020-05-07,423.0,621.0,423.0,318.0,69.0,19.0,-0.1417004048582996,-0.7195121951219512,-282.1777777777778,0.940625,1.4680851063829787,0.6811594202898551,0.75177304964539,2020-05-11,0.120411,5.0,2.0
-18.57222,-45.26083,5.1,,2020-05-06,354.0,518.0,201.0,140.0,65.0,16.0,-0.17888563049853373,-0.5112781954887218,-103.11111111111111,0.9400749063670412,1.463276836158192,0.38803088803088803,0.6965174129353234,2020-05-11,0.120411,5.0,2.0
-18.48928,-45.42733,3.78,,2020-05-06,590.0,1005.0,533.0,350.0,87.0,13.0,-0.2072480181200453,-0.7193548387096774,-353.55555555555554,0.9744597249508841,1.7033898305084745,0.5303482587064676,0.6566604127579737,2020-05-11,0.120411,5.0,2.0
-18.22376,-45.26183,3.99,,2020-05-06,525.0,798.0,354.0,244.0,99.0,38.0,-0.18394648829431437,-0.5629139072847682,-198.8222222222222,0.9090909090909091,1.52,0.44360902255639095,0.6892655367231638,2020-05-11,0.120411,5.0,2.0
-18.22376,-45.26183,,1.07,2016-04-29,,,,,,,,,,,,,,,,,
-18.8325,-45.13306,,1.07,2016-05-03,,,,,,,,,,,,,,,,,
-18.89833,-45.12083,,1.07,2016-05-03,,,,,,,,,,,,,,,,,
-18.88812,-45.20045,,1.07,2016-05-03,,,,,,,,,,,,,,,,,
-18.57222,-45.26083,,1.07,2016-05-04,,,,,,,,,,,,,,,,,
-18.48928,-45.42733,,1.07,2016-05-04,,,,,,,,,,,,,,,,,
-18.22376,-45.26183,,1.07,2016-08-23,,,,,,,,,,,,,,,,,
-18.57222,-45.26083,,1.07,2016-08-24,,,,,,,,,,,,,,,,,
