latitude,longitude,turbidez,clorofila,data
-18.8325,-45.133056,,5.86,2009-11-27
-18.8325,-45.133056,,7.53,2010-05-07
-18.8325,-45.133056,,4.18,2010-05-07
-18.8325,-45.133056,,0.84,2011-06-03
-18.8325,-45.133056,,1.39,2011-06-03
-18.8325,-45.133056,,3.35,2011-11-08
-18.8325,-45.133056,,1.12,2011-11-08
-18.8325,-45.133056,,3.91,2012-06-18
-18.8325,-45.133056,,1.4,2012-06-18
-18.8325,-45.133056,,4.46,2012-11-08
-18.8325,-45.133056,,1.4,2012-11-08
-18.8325,-45.133056,,0.37,2013-06-08
-18.8325,-45.133056,,0.84,2013-06-08
-18.8325,-45.133056,,2.09,2015-01-27
-18.8325,-45.133056,,0.17,2015-01-27
-18.8325,-45.133056,,0.56,2015-07-28
-18.8325,-45.133056,,0.14,2015-07-28
-18.88812,-45.20045,4.17,,2022-06-01
-18.88812,-45.20045,4.78,,2022-11-01
-18.88812,-45.20045,10.1,,2023-02-16
-18.88812,-45.20045,278.6,,2022-08-24
-18.88812,-45.20045,1.03,,2019-08-21
-18.88812,-45.20045,2.74,,2019-05-22
-18.88812,-45.20045,2.99,,2018-08-23
-18.88812,-45.20045,3.43,,2021-08-25
-18.88812,-45.20045,3.55,,2016-05-03
-18.88812,-45.20045,3.59,,2019-01-20
-18.88812,-45.20045,4.13,,2021-02-02
-18.88812,-45.20045,4.65,,2019-02-28
-18.88812,-45.20045,4.78,,2018-05-17
-18.88812,-45.20045,4.8,,2020-08-26
-18.88812,-45.20045,5.49,,2016-08-25
-18.88812,-45.20045,5.65,,2020-05-07
-18.88812,-45.20045,6.23,,2021-01-30
-18.88812,-45.20045,6.34,,2020-02-19
-18.88812,-45.20045,6.91,,2016-01-08
-18.88812,-45.20045,7.59,,2020-02-01
-18.88812,-45.20045,8.48,,2017-02-17
-18.88812,-45.20045,9.3,,2018-01-22
-18.88812,-45.20045,75.6,,2022-02-23
-18.88812,-45.20045,0.9,,2023-08-15
-18.88812,-45.20045,4.0,,2023-05-24
-18.89833,-45.12083,2.73,,2022-06-01
-18.89833,-45.12083,26.5,,2022-11-01
-18.89833,-45.12083,38.7,,2023-02-16
-18.89833,-45.12083,279.4,,2022-08-24
-18.89833,-45.12083,0.89,,2019-08-21
-18.89833,-45.12083,3.21,,2018-08-23
-18.89833,-45.12083,3.35,,2016-05-03
-18.89833,-45.12083,3.56,,2019-01-20
-18.89833,-45.12083,3.92,,2018-05-17
-18.89833,-45.12083,5.53,,2019-02-28
