Parâmetro,PONTO,DATA,UN.,RESULT.
Fósforo Total ,CLA-06B,2018-01-01,mg/L,1.217
Manganês Total ,CLA-06B,2018-01-01,mg/L,0.0
Nitrogênio Amoniacal ,CLA-06B,2018-01-01,mg/L,
Nitrato ,CLA-06B,2018-01-01,mg/L,0.096
Nitrito ,CLA-06B,2018-01-01,mg/L,0.007
Nitrogênio total,CLA-06B,2018-01-01,mg/L,
Óleos e Graxas,CLA-06B,2018-01-01,mg/L,0.0
Oxigênio Dissolvido,CLA-06B,2018-01-01,mg/L,5.0
pH,CLA-06B,2018-01-01,mg/L,6.45
Sólidos Dissolvidos,CLA-06B,2018-01-01,mg/L,10.0
Sulfato Total,CLA-06B,2018-01-01,mg/L,15.82
Temperatura da Água,CLA-06B,2018-01-01,°C,27.2
Transparência da Água,CLA-06B,2018-01-01,m,
Turbidez,CLA-06B,2018-01-01,NTU,21.28
Coliformes Totais,CLA-06B,2018-01-01,NMP/100mL,38.0
Escherichia coli,CLA-06B,2018-01-01,NPM/100mL,0.0
Clorofila a,CLA-06B,2018-01-01,μg/L,0.0
Alcalinidade Total,CLA-07,2018-01-01,mg/L,16.0
Alumínio Dissolvido ,CLA-07,2018-01-01,mg/L,0.031
Cloreto Total ,CLA-07,2018-01-01,mg/L,20.3
Cobre Dissolvido ,CLA-07,2018-01-01,mg/L,0.488
Condutividade Elétrica,CLA-07,2018-01-01,μS/cm,17.0
Cor Verdadeira ,CLA-07,2018-01-01,UC,3.1
DBO ,CLA-07,2018-01-01,mg/L,
DQO,CLA-07,2018-01-01,mg/L,
Dureza Total ,CLA-07,2018-01-01,mg/L,12.0
Potássio Total ,CLA-07,2018-01-01,mg/L,0.0
Ferro Dissolvido,CLA-07,2018-01-01,mg/L,0.423
Fósforo Total ,CLA-07,2018-01-01,mg/L,0.933
Manganês Total ,CLA-07,2018-01-01,mg/L,0.0
Nitrogênio Amoniacal ,CLA-07,2018-01-01,mg/L,
Nitrato ,CLA-07,2018-01-01,mg/L,0.032
Nitrito ,CLA-07,2018-01-01,mg/L,0.0
Nitrogênio total,CLA-07,2018-01-01,mg/L,
Óleos e Graxas,CLA-07,2018-01-01,mg/L,0.0
Oxigênio Dissolvido,CLA-07,2018-01-01,mg/L,5.1
pH,CLA-07,2018-01-01,mg/L,6.45
Sólidos Dissolvidos,CLA-07,2018-01-01,mg/L,8.0
Sulfato Total,CLA-07,2018-01-01,mg/L,18.1
Temperatura da Água,CLA-07,2018-01-01,°C,27.5
Transparência da Água,CLA-07,2018-01-01,m,
Turbidez,CLA-07,2018-01-01,NTU,19.12
Coliformes Totais,CLA-07,2018-01-01,NMP/100mL,10.0
Escherichia coli,CLA-07,2018-01-01,NPM/100mL,0.0
Clorofila a,CLA-07,2018-01-01,μg/L,1.5
Alcalinidade Total,CLA-08,2018-01-01,mg/L,22.0
Alumínio Dissolvido ,CLA-08,2018-01-01,mg/L,0.03
Cloreto Total ,CLA-08,2018-01-01,mg/L,20.0
Cobre Dissolvido ,CLA-08,2018-01-01,mg/L,0.476
Condutividade Elétrica,CLA-08,2018-01-01,μS/cm,15.0
Cor Verdadeira ,CLA-08,2018-01-01,UC,3.1
DBO ,CLA-08,2018-01-01,mg/L,
DQO,CLA-08,2018-01-01,mg/L,
Dureza Total ,CLA-08,2018-01-01,mg/L,8.0
Potássio Total ,CLA-08,2018-01-01,mg/L,0.0
Ferro Dissolvido,CLA-08,2018-01-01,mg/L,0.312
Fósforo Total ,CLA-08,2018-01-01,mg/L,0.936
Manganês Total ,CLA-08,2018-01-01,mg/L,0.088
Nitrogênio Amoniacal ,CLA-08,2018-01-01,mg/L,
Nitrato ,CLA-08,2018-01-01,mg/L,0.032
Nitrito ,CLA-08,2018-01-01,mg/L,0.0
Nitrogênio total,CLA-08,2018-01-01,mg/L,
Óleos e Graxas,CLA-08,2018-01-01,mg/L,0.0
