sitio_cod,data,paramet,unidade,result,Latitude,Longitude
TM30,24/05/2023,clorofila a,µg/l,2.14,-18.57222,-45.26083
TM30,24/05/2023,turbidez,ntu,1.4,-18.57222,-45.26083
TM30,25/08/2022,clorofila a,µg/l,"2,14",-18.57222,-45.26083
TM30,30/11/2022,clorofila a,µg/l,"4,27",-18.57222,-45.26083
TM30,15/02/2023,clorofila a,µg/l,"5,34",-18.57222,-45.26083
TM30,15/12/2023,clorofila a,µg/l,"8,54",-18.57222,-45.26083
TM35,15/02/2023,turbidez,ntu,1,-18.48928,-45.42733
TM35,02/06/2022,clorofila a,µg/l,2.14,-18.48928,-45.42733
TM35,30/11/2022,turbidez,ntu,2.87,-18.48928,-45.42733
TM35,02/06/2022,turbidez,ntu,5.25,-18.48928,-45.42733
TM35,25/08/2022,turbidez,ntu,259.6,-18.48928,-45.42733
TM35,22/08/2019,turbidez,ntu,0.53,-18.48928,-45.42733
TM35,26/08/2021,turbidez,ntu,0.89,-18.48928,-45.42733
TM35,16/02/2017,clorofila a,,1.07,-18.48928,-45.42733
TM35,28/02/2018,clorofila a,,1.07,-18.48928,-45.42733
TM35,27/02/2019,clorofila a,,1.07,-18.48928,-45.42733
TM35,20/02/2020,clorofila a,,1.07,-18.48928,-45.42733
TM35,24/02/2022,clorofila a,,1.07,-18.48928,-45.42733
TM35,04/05/2016,clorofila a,,1.07,-18.48928,-45.42733
TM35,16/05/2018,clorofila a,,1.07,-18.48928,-45.42733
TM35,21/05/2019,clorofila a,,1.07,-18.48928,-45.42733
TM35,06/05/2020,clorofila a,,1.07,-18.48928,-45.42733
TM35,20/05/2021,clorofila a,,1.07,-18.48928,-45.42733
TM35,25/08/2016,clorofila a,,1.07,-18.48928,-45.42733
TM35,22/08/2018,clorofila a,,1.07,-18.48928,-45.42733
TM35,22/08/2019,clorofila a,,1.07,-18.48928,-45.42733
TM35,27/08/2020,clorofila a,,1.07,-18.48928,-45.42733
TM35,09/01/2016,clorofila a,,1.07,-18.48928,-45.42733
TM35,21/01/2018,clorofila a,,1.07,-18.48928,-45.42733
TM35,21/01/2019,clorofila a,,1.07,-18.48928,-45.42733
TM35,03/02/2020,clorofila a,,1.07,-18.48928,-45.42733
TM35,20/02/2020,turbidez,ntu,1.3,-18.48928,-45.42733
TM35,27/02/2019,turbidez,ntu,2.1,-18.48928,-45.42733
TM35,26/08/2021,clorofila a,,2.14,-18.48928,-45.42733
TM35,30/01/2021,clorofila a,,2.14,-18.48928,-45.42733
TM35,03/02/2021,turbidez,ntu,2.28,-18.48928,-45.42733
TM35,22/08/2018,turbidez,ntu,2.95,-18.48928,-45.42733
TM35,21/01/2018,turbidez,ntu,3.19,-18.48928,-45.42733
TM35,03/02/2021,clorofila a,,3.2,-18.48928,-45.42733
TM35,25/08/2016,turbidez,ntu,3.4,-18.48928,-45.42733
TM35,03/02/2020,turbidez,ntu,3.53,-18.48928,-45.42733
TM35,06/05/2020,turbidez,ntu,3.78,-18.48928,-45.42733
TM35,30/01/2021,turbidez,ntu,3.92,-18.48928,-45.42733
TM35,09/01/2016,turbidez,ntu,3.93,-18.48928,-45.42733
TM35,24/02/2022,turbidez,ntu,3.99,-18.48928,-45.42733
TM35,16/02/2017,turbidez,ntu,5.18,-18.48928,-45.42733
TM35,27/08/2020,turbidez,ntu,5.21,-18.48928,-45.42733
TM35,28/02/2018,turbidez,ntu,5.54,-18.48928,-45.42733
TM35,21/05/2019,turbidez,ntu,6.86,-18.48928,-45.42733
TM35,21/01/2019,turbidez,ntu,7.81,-18.48928,-45.42733
TM35,04/05/2016,turbidez,ntu,8.29,-18.48928,-45.42733
TM35,16/05/2018,turbidez,ntu,9.18,-18.48928,-45.42733
TM35,18/08/2023,clorofila a,µg/l,2.14,-18.48928,-45.42733
TM35,18/08/2023,turbidez,ntu,0,-18.48928,-45.42733
TM35,23/05/2023,clorofila a,µg/l,1,-18.48928,-45.42733
TM35,23/05/2023,turbidez,ntu,6.1,-18.48928,-45.42733
TM35,25/08/2022,clorofila a,µg/l,1,-18.48928,-45.42733
TM35,30/11/2022,clorofila a,µg/l,"2,14",-18.48928,-45.42733
TM35,15/02/2023,clorofila a,µg/l,"2,14",-18.48928,-45.42733
TM35,13/12/2023,clorofila a,µg/l,"2,14",-18.48928,-45.42733
TM37,15/02/2023,turbidez,ntu,0.3,-18.21276,-45.29314
TM37,02/06/2022,clorofila a,µg/l,2.14,-18.21276,-45.29314
TM37,01/11/2022,turbidez,ntu,2.32,-18.21276,-45.29314
TM37,02/06/2022,turbidez,ntu,8.51,-18.21276,-45.29314
TM37,25/08/2022,turbidez,ntu,221.9,-18.21276,-45.29314
TM37,18/08/2023,clorofila a,µg/l,2.14,-18.21276,-45.29314
TM37,18/08/2023,turbidez,ntu,0.2,-18.21276,-45.29314
TM37,23/05/2023,clorofila a,µg/l,1,-18.21276,-45.29314
TM37,23/05/2023,turbidez,ntu,3.8,-18.21276,-45.29314
TM37,23/08/2022,clorofila a,µg/l,"1,07",-18.21276,-45.29314
TM37,01/11/2022,clorofila a,µg/l,"1,07",-18.21276,-45.29314
