Object_ID,Latitude,Longitude,Data,Turbidez
PT14,-18.73487252168208,-45.18034911172143,24/06/2021,1.89
PT14,-18.73487252168208,-45.18034911172143,27/07/2021,1.43
PT14,-18.73487252168208,-45.18034911172143,30/08/2021,9.07
PT14,-18.73487252168208,-45.18034911172143,29/09/2021,13.9
PT14,-18.73487252168208,-45.18034911172143,01/11/2021,2.32
PT15,-18.632786154686677,-45.23692682189738,15/12/2020,19.5
PT15,-18.632786154686677,-45.23692682189738,26/01/2021,7.8
PT15,-18.632786154686677,-45.23692682189738,23/02/2021,3.39
PT15,-18.632786154686677,-45.23692682189738,27/04/2021,5.24
PT15,-18.632786154686677,-45.23692682189738,21/05/2021,2.53
PT15,-18.632786154686677,-45.23692682189738,23/06/2021,32.4
PT15,-18.632786154686677,-45.23692682189738,27/07/2021,1.14
PT15,-18.632786154686677,-45.23692682189738,30/08/2021,12.5
PT15,-18.632786154686677,-45.23692682189738,29/09/2021,13.2
PT15,-18.632786154686677,-45.23692682189738,27/10/2021,3.0
PT16,-18.633269724915877,-45.22360588290943,15/12/2020,2.67
PT16,-18.633269724915877,-45.22360588290943,26/01/2021,63.2
PT16,-18.633269724915877,-45.22360588290943,23/02/2021,2.82
PT16,-18.633269724915877,-45.22360588290943,27/04/2021,6.43
PT16,-18.633269724915877,-45.22360588290943,21/05/2021,2.1
PT16,-18.633269724915877,-45.22360588290943,23/06/2021,4.43
PT16,-18.633269724915877,-45.22360588290943,27/07/2021,1.84
PT16,-18.633269724915877,-45.22360588290943,30/08/2021,30.3
PT16,-18.633269724915877,-45.22360588290943,29/09/2021,5.62
PT16,-18.633269724915877,-45.22360588290943,27/10/2021,163.0
PT17,-18.51667477017817,-45.28175900466379,18/12/2020,4.21
PT17,-18.51667477017817,-45.28175900466379,25/01/2021,7.09
PT17,-18.51667477017817,-45.28175900466379,22/02/2021,13.4
PT17,-18.51667477017817,-45.28175900466379,18/05/2021,16.5
PT17,-18.51667477017817,-45.28175900466379,25/05/2021,8.72
PT17,-18.51667477017817,-45.28175900466379,28/06/2021,2.19
PT17,-18.51667477017817,-45.28175900466379,28/07/2021,4.86
PT17,-18.51667477017817,-45.28175900466379,30/08/2021,6.12
PT17,-18.51667477017817,-45.28175900466379,01/10/2021,20.4
PT17,-18.51667477017817,-45.28175900466379,28/10/2021,44.8
PT18,-18.469869227074287,-45.38645255331407,18/12/2020,29.6
PT18,-18.469869227074287,-45.38645255331407,25/01/2021,3.66
PT18,-18.469869227074287,-45.38645255331407,22/02/2021,46.0
PT18,-18.469869227074287,-45.38645255331407,18/05/2021,28.1
PT18,-18.469869227074287,-45.38645255331407,25/05/2021,2.42
PT18,-18.469869227074287,-45.38645255331407,28/06/2021,1.85
PT18,-18.469869227074287,-45.38645255331407,28/07/2021,2.48
PT18,-18.469869227074287,-45.38645255331407,02/09/2021,2.03
PT18,-18.469869227074287,-45.38645255331407,01/10/2021,27.4
PT18,-18.469869227074287,-45.38645255331407,28/10/2021,2.7
PT19,-18.234392101459004,-45.243239323852194,15/12/2020,8.79
PT19,-18.234392101459004,-45.243239323852194,26/01/2021,3.48
PT19,-18.234392101459004,-45.243239323852194,23/02/2021,5.04
PT19,-18.234392101459004,-45.243239323852194,29/04/2021,39.3
PT19,-18.234392101459004,-45.243239323852194,21/05/2021,1.58
PT19,-18.234392101459004,-45.243239323852194,25/06/2021,0.82
PT19,-18.234392101459004,-45.243239323852194,26/07/2021,1.62
PT19,-18.234392101459004,-45.243239323852194,03/09/2021,8.58
PT19,-18.234392101459004,-45.243239323852194,28/09/2021,1.63
PT19,-18.234392101459004,-45.243239323852194,27/10/2021,46.8
