PONTO,DATA,Clorofila a,Transparência da Água,Sólidos Dissolvidos,Sólidos Dissolvidos Totais,Sólidos Sedimentáveis,Sólidos Suspensos Totais,Sólidos Totais,Turbidez,Latitude,Longitude
CLA-09,2020-10-15,1.3,0.6,,8.0,,,,2.72,-18.732783800131944,-51.003284514940056
CLA-ETE,2020-10-14,3.41,0.6,,23.0,,,23.0,2.84,-18.567897827162238,-51.110681871352824
CLA-01,2021-10-03,1.34,2.5,16.0,,,,,2.46,-18.40471469720768,-51.22287716980235
CLA-02,2021-10-03,1.0,2.0,16.0,,,,,2.4,-18.478620867606217,-51.188607926708855
CLA-03,2021-10-03,1.67,2.5,16.0,,,,,1.59,-18.528218997966466,-51.15191904306638
CLA-04,2021-10-03,1.34,4.0,16.0,,,,,1.06,-18.554869066877227,-51.12675459317855
CLA-05,2021-10-03,1.0,2.5,18.0,,,,,1.73,-18.55495622601502,-51.12622947820932
CLA-06,2021-10-03,2.67,3.0,16.0,,,,,1.44,-18.569842526616718,-51.10807692400981
CLA-06B,2021-10-03,1.0,2.0,16.0,,,,,1.33,-18.580416304138193,-51.10538491999489
CLA-07,2021-10-03,1.67,2.5,16.0,,,,,1.09,-18.64469238815568,-51.05218482324302
CLA-08,2021-10-03,2.34,1.0,16.0,,,,,1.01,-18.706763370925028,-51.008782838537705
CLA-08CS,2021-10-03,1.0,2.5,16.0,,,,,1.28,-18.658334892800493,-51.06757829218299
CLA-09,2021-10-03,1.0,0.8,16.0,,,,,1.28,-18.732783800131944,-51.003284514940056
CLA-ETE,2021-10-03,36.32,0.0,128.0,,,,,89.9,-18.567897827162238,-51.110681871352824
CLA-01,2022-01-04,1.0,,,12.0,,,28.0,29.6,-18.40471469720768,-51.22287716980235
CLA-02,2022-01-04,1.0,,,12.0,,,20.0,23.3,-18.478620867606217,-51.188607926708855
CLA-03,2022-01-04,3.0,,,12.0,,,150.0,18.8,-18.528218997966466,-51.15191904306638
CLA-04,2022-01-04,2.0,,,18.0,,,68.0,33.3,-18.554869066877227,-51.12675459317855
CLA-05,2022-01-04,1.34,,,98.0,,,224.0,15.6,-18.55495622601502,-51.12622947820932
CLA-06,2022-01-04,1.0,,,12.0,,,38.0,32.5,-18.569842526616718,-51.10807692400981
CLA-06B,2022-01-04,1.0,,,12.0,,,76.0,34.8,-18.580416304138193,-51.10538491999489
CLA-07,2022-01-04,1.0,,,12.0,,,88.0,18.3,-18.64469238815568,-51.05218482324302
CLA-08,2022-01-04,1.0,,,10.0,,,78.0,13.6,-18.706763370925028,-51.008782838537705
CLA-08CS,2022-01-04,1.0,,,20.0,,,22.0,14.0,-18.658334892800493,-51.06757829218299
CLA-09,2022-01-04,1.0,,,12.0,,,82.0,22.2,-18.732783800131944,-51.003284514940056
CLA-ETE,2022-01-04,66.75,,,156.0,0.3,10.0,264.0,36.1,-18.567897827162238,-51.110681871352824
CLA-01,2022-04-03,1.0,0.4,,20.0,,,28.0,45.4,-18.40471469720768,-51.22287716980235
CLA-02,2022-04-03,1.0,0.6,,18.0,,,28.0,21.9,-18.478620867606217,-51.188607926708855
CLA-03,2022-04-03,1.0,0.95,,18.0,,,24.0,13.3,-18.528218997966466,-51.15191904306638
CLA-04,2022-04-03,5.34,0.5,,18.0,,,26.0,33.9,-18.554869066877227,-51.12675459317855
CLA-05,2022-04-03,1.669,0.5,,20.0,,,30.0,31.8,-18.55495622601502,-51.12622947820932
CLA-06,2022-04-03,1.0,0.5,,18.0,,,26.0,33.9,-18.569842526616718,-51.10807692400981
CLA-06B,2022-04-03,1.335,1.5,,28.0,,,32.0,23.8,-18.580416304138193,-51.10538491999489
CLA-07,2022-04-03,4.005,0.5,,22.0,,,28.0,16.1,-18.64469238815568,-51.05218482324302
CLA-08,2022-04-03,1.001,0.8,,18.0,,,24.0,33.5,-18.706763370925028,-51.008782838537705
CLA-08CS,2022-04-03,1.0,0.5,,22.0,,,32.0,13.3,-18.658334892800493,-51.06757829218299
CLA-09,2022-04-03,1.0,0.8,,30.0,,,38.0,35.3,-18.732783800131944,-51.003284514940056
CLA-ETE,2022-04-03,,,,166.0,0.3,10.0,248.0,33.6,-18.567897827162238,-51.110681871352824
CLA-01,2022-07-02,1.0,2.0,,16.0,,,22.0,4.54,-18.40471469720768,-51.22287716980235
CLA-02,2022-07-02,5.674,3.5,,18.0,,,30.0,1.98,-18.478620867606217,-51.188607926708855
CLA-03,2022-07-02,13.684,5.0,,16.0,,,20.0,1.89,-18.528218997966466,-51.15191904306638
CLA-04,2022-07-02,8.678,1.5,,22.0,,,32.0,3.55,-18.554869066877227,-51.12675459317855
CLA-05,2022-07-02,17.355,0.5,,62.0,,,70.0,2.83,-18.55495622601502,-51.12622947820932
