PONTO,DATA,Clorofila a,Transparência da Água,Sólidos Dissolvidos,Sólidos Dissolvidos Totais,Sólidos Sedimentáveis,Sólidos Suspensos Totais,Sólidos Totais,Turbidez,Latitude,Longitude,B2,B3,B4,B5,B8,B11,NDCI,NDVI,FAI,MNDWI,B3_B2_ratio,B4_B3_ratio,B5_B4_ratio,Image_Date,Cloud_Percentage,Month,Season
CLA-02,2022-01-04,1.0,,,12.0,,,20.0,23.3,-18.478620867606217,-51.188607926708855,1040.0,1458.0,1538.0,1432.0,867.0,700.0,-0.03569023569023569,-0.279002079002079,-522.0222222222221,0.35125115848007415,1.4019230769230768,1.0548696844993142,0.9310793237971391,2021-12-26,0.185473,1,1
CLA-03,2022-01-04,3.0,,,12.0,,,150.0,18.8,-18.528218997966466,-51.15191904306638,1686.0,2082.0,2062.0,2006.0,1418.0,1351.0,-0.01376597836774828,-0.1850574712643678,-517.5999999999999,0.21293329449461113,1.2348754448398576,0.9903938520653218,0.9728419010669254,2021-12-26,0.185473,1,1
CLA-04,2022-01-04,2.0,,,18.0,,,68.0,33.3,-18.554869066877227,-51.12675459317855,1908.0,2320.0,2666.0,2614.0,1896.0,1602.0,-0.009848484848484848,-0.1687856203419553,-580.8444444444444,0.18306986231514533,1.2159329140461217,1.1491379310344827,0.9804951237809453,2021-12-26,0.185473,1,1
CLA-05,2022-01-04,1.34,,,98.0,,,224.0,15.6,-18.55495622601502,-51.12622947820932,1768.0,2236.0,2566.0,2710.0,1768.0,1527.0,0.027293404094010616,-0.18412551915089986,-613.2888888888888,0.1884134998671273,1.2647058823529411,1.1475849731663685,1.0561184723304755,2021-12-26,0.185473,1,1
CLA-06,2022-01-04,1.0,,,12.0,,,38.0,32.5,-18.56984252661672,-51.10807692400981,678.0,1074.0,1162.0,1106.0,452.0,315.0,-0.024691358024691357,-0.4399008674101611,-559.4222222222222,0.5464362850971922,1.584070796460177,1.0819366852886405,0.9518072289156626,2021-12-26,0.185473,1,1
CLA-06B,2022-01-04,1.0,,,12.0,,,76.0,34.8,-18.580416304138197,-51.10538491999489,1974.0,2392.0,2444.0,2392.0,1682.0,1535.0,-0.010752688172043012,-0.18468250121182744,-600.4000000000001,0.21823274764451234,1.2117527862208712,1.0217391304347827,0.9787234042553191,2021-12-26,0.185473,1,1
CLA-07,2022-01-04,1.0,,,12.0,,,88.0,18.3,-18.64469238815568,-51.05218482324302,1204.0,1520.0,1346.0,1260.0,949.0,787.0,-0.03300076745970836,-0.17298474945533768,-297.62222222222226,0.31772865192891203,1.2624584717607974,0.8855263157894737,0.9361069836552749,2021-12-26,0.185473,1,1
CLA-08,2022-01-04,1.0,,,10.0,,,78.0,13.6,-18.706763370925028,-51.008782838537705,399.0,671.0,445.0,357.0,183.0,90.0,-0.10972568578553615,-0.4171974522292994,-198.8888888888889,0.7634691195795007,1.681704260651629,0.6631892697466468,0.802247191011236,2021-12-26,0.185473,1,1
CLA-08CS,2022-01-04,1.0,,,20.0,,,22.0,14.0,-18.658334892800493,-51.06757829218299,818.0,1112.0,941.0,724.0,480.0,305.0,-0.13033033033033034,-0.32441942294159043,-347.9333333333334,0.5695130557515878,1.3594132029339854,0.8462230215827338,0.769394261424017,2021-12-26,0.185473,1,1
CLA-09,2022-01-04,1.0,,,12.0,,,82.0,22.2,-18.732783800131944,-51.003284514940056,1102.0,1444.0,1396.0,1377.0,856.0,769.0,-0.006851785070320952,-0.23978685612788633,-428.5333333333333,0.3050158156348848,1.3103448275862069,0.9667590027700831,0.9863896848137536,2021-12-26,0.185473,1,1
