ponto,data,Clorofila_a,Turbidez
TM25,8/21/2019,1.07,
TM30,8/22/2019,1.07,
TM35,8/22/2019,1.07,
TM40,8/22/2019,1.07,
TM55,11/19/2019,2.67,
TM50,11/19/2019,1.07,
TM45,11/19/2019,1.07,
TM25,11/20/2019,1.07,
TM40,11/20/2019,1.07,
TM15,11/20/2019,1.07,
TM35,11/21/2019,1.07,
TM30,11/21/2019,1.07,
TM15,2/9/2020,1.07,
TM55,2/18/2020,1.07,
TM45,2/18/2020,1.07,
TM20,2/19/2020,1.07,
TM25,2/19/2020,1.07,
TM35,2/20/2020,1.07,
TM30,2/20/2020,1.07,
TM50,2/20/2020,1.07,
TM40,2/21/2020,1.07,
TM55,5/5/2020,1.07,
TM45,5/5/2020,1.07,
TM50,5/5/2020,1.07,
TM30,5/6/2020,1.07,
TM35,5/6/2020,1.07,
TM40,5/6/2020,1.07,
TM15,5/7/2020,1.07,
TM20,5/7/2020,1.07,
TM25,5/7/2020,1.07,
TM15,8/26/2020,1.05,4.8
TM20,8/26/2020,1.05,6.3
TM25,8/26/2020,2.14,2.78
TM30,8/27/2020,3.2,2.57
TM35,8/27/2020,1.05,5.21
TM40,8/26/2020,1.05,2.78
TM45,8/25/2020,1.05,4.35
TM50,8/25/2020,1.05,7.43
TM55,8/25/2020,2.14,5.36
TM15,12/1/2020,1.06,7.59
TM20,12/1/2020,2.14,49.6
TM25,12/1/2020,1.06,5.11
TM30,12/3/2020,1.06,6.07
TM35,12/3/2020,1.06,3.53
TM40,12/1/2020,1.06,1.98
TM45,12/2/2020,1.06,1.01
TM50,12/2/2020,1.06,1.5
TM55,12/3/2020,1.06,107
TM15,2/2/2021,3.2,4.13
TM20,2/2/2021,5.34,10.7
TM25,2/2/2021,6.41,14.1
TM30,2/3/2021,9.61,5.79
TM35,2/3/2021,3.2,2.28
TM40,2/3/2021,1.06,1.64
TM45,2/4/2021,1.06,9.97
TM50,2/4/2021,1.06,9.71
TM55,2/4/2021,8.54,12
TM20,8/25/2021,2.14,6.22
TM25,8/25/2021,8.54,3.2
TM30,8/26/2021,"1,069",1.82
TM35,8/26/2021,2.14,0.89
TM40,8/26/2021,2.14,0.83
TM45,8/24/2021,"1,069",1.5
TM50,8/24/2021,"1,069",1.95
TM55,8/24/2021,"1,069",3.68
