"ponto","data","Condutividade_Eletrica","Oxigenio_dissolvido","Deficit_oxigenio_dissolvido","Temperatura_agua","Transparencia","Turbidez","pH","Profundidade","Clorofila_a","Fosforo_total","Nitrogenio_total","Solidos_suspensao","Alcalinidade_total","Nitrato_total","Demanda_bioquimica_oxigenio","Solidos_dissolvidos_totais","Potencial_redox","Manganes_total","Coliformes_termotolerantes","Cor_verdadeira","Ferro_dissolvido","Demanda_quimica_oxigenio","Oleos_Graxas","Densidade_cianobacterias","Solidos_totais","Indice_estado_trofico","Sulfeto","Sulfato_total","IQA ","Surfactantes"
"TM35ZF","8/22/2019","72.9","5.35","","23.8","","0.36","7.66","","","","","","","","","","","","","","","","","","","","","","",""
"TM40F","8/22/2019","81.0","0.00","","22.4","","0.54","7.70","","","","","","","","","","","","","","","","","","","","","","",""
"TM40S","8/22/2019","85.0","6.80","","24.4","5.00","0.82","7.42","","","","","","","","","","","","","","","","","","","","","","",""
"TM40ZF","8/22/2019","83.1","5.32","","24.0","","1.33","7.58","","","","","","","","","","","","","","","","","","","","","","",""
"TM45S","8/20/2019","107.0","6.45","","23.3","","1.99","7.66","","","","","","","","","","","","","","","","","","","","","","",""
"TM50S","8/20/2019","131.0","6.65","","20.9","","1.75","6.35","","","","","","","","","","","","","","","","","","","","","","",""
"TM55S","8/20/2019","111.0","6.66","","23.8","","5.23","6.90","","","","","","","","","","","","","","","","","","","","","","",""
"TM10S","10/8/2019","","","","28.0","1.00","","7.15","","","","","","","","","","","","","","","","","","","","","","",""
"TM10S","11/19/2019","253.0","6.95","","27.6","","38.90","6.67","","","","","","","","","","","","","","","","","","","","","","",""
"TM15F","11/20/2019","99.0","2.05","","26.0","","1.77","6.85","","","","","","","","","","","","","","","","","","","","","","",""
"TM15S","11/20/2019","113.0","7.14","","28.4","2.00","3.59","6.70","","","","","","","","","","","","","","","","","","","","","","",""
"TM15ZF","11/20/2019","115.0","6.00","","27.0","","1.39","6.95","","","","","","","","","","","","","","","","","","","","","","",""
"TM20F","11/20/2019","103.0","3.01","","27.1","","6.07","6.19","","","","","","","","","","","","","","","","","","","","","","",""
"TM20S","11/20/2019","112.0","6.39","","28.0","1.50","3.56","6.25","","","","","","","","","","","","","","","","","","","","","","",""
"TM20ZF","11/20/2019","108.0","5.99","","27.5","","2.73","6.12","","","","","","","","","","","","","","","","","","","","","","",""
"TM25F","11/20/2019","108.0","3.01","","26.5","","7.11","6.64","","","","","","","","","","","","","","","","","","","","","","",""
"TM25S","11/20/2019","111.0","7.06","","28.4","2.00","3.23","6.09","","","","","","","","","","","","","","","","","","","","","","",""
"TM25ZF","11/20/2019","96.0","6.98","","27.6","","3.35","6.51","","","","","","","","","","","","","","","","","","","","","","",""
"TM30F","11/21/2019","96.0","6.72","","28.0","","27.10","6.74","","","","","","","","","","","","","","","","","","","","","","",""
"TM30S","11/21/2019","104.0","6.76","","28.5","1.00","9.08","6.85","","","","","","","","","","","","","","","","","","","","","","",""
"TM30ZF","11/21/2019","85.0","6.73","","28.3","","30.90","6.62","","","","","","","","","","","","","","","","","","","","","","",""
"TM35F","11/21/2019","92.0","2.85","","26.5","","4.86","6.00","","","","","","","","","","","","","","","","","","","","","","",""
"TM35S","11/21/2019","96.0","6.96","","28.5","3.00","7.81","6.28","","","","","","","","","","","","","","","","","","","","","","",""
"TM35ZF","11/21/2019","97.0","7.13","","28.0","","8.12","6.01","","","","","","","","","","","","","","","","","","","","","","",""
"TM40F","11/20/2019","103.0","0.98","","25.5","","0.88","6.44","","","","","","","","","","","","","","","","","","","","","","",""
"TM40S","11/20/2019","94.0","6.98","","28.5","4.00","1.08","6.55","","","","","","","","","","","","","","","","","","","","","","",""
"TM40ZF","11/20/2019","90.0","6.60","","27.8","","1.32","6.73","","","","","","","","","","","","","","","","","","","","","","",""
"TM45S","11/19/2019","207.0","4.72","","24.9","","0.81","6.63","","","","","","","","","","","","","","","","","","","","","","",""
"TM50S","11/19/2019","265.0","5.38","","25.2","","1.28","6.19","","","","","","","","","","","","","","","","","","","","","","",""
"TM55S","11/19/2019","78.0","6.97","","25.9","","3525.00","7.72","","","","","","","","","","","","","","","","","","","","","","",""
"TM10S","2/18/2020","95.8","4.07","","25.2","","180.00","6.42","","","","","","","","","","","","","","","","","","","","","","",""
"TM15F","2/19/2020","143.0","0.54","","24.0","","75.30","4.03","","","","","","","","","","","","","","","","","","","","","","",""
"TM15S","2/19/2020","117.0","8.13","","30.7","3.00","6.34","7.61","","","","","","","","","","","","","","","","","","","","","","",""
"TM15ZF","2/19/2020","145.0","4.98","","29.8","","8.02","7.84","","","","","","","","","","","","","","","","","","","","","","",""
"TM20F","2/19/2020","140.0","1.85","","21.0","","218.00","4.50","","","","","","","","","","","","","","","","","","","","","","",""
"TM20S","2/19/2020","135.0","8.37","","28.3","3.00","10.50","7.59","","","","","","","","","","","","","","","","","","","","","","",""
"TM20ZF","2/19/2020","123.0","7.44","","28.6","","31.40","6.89","","","","","","","","","","","","","","","","","","","","","","",""
"TM25F","2/19/2020","186.0","0.26","","21.0","","840.00","2.53","","","","","","","","","","","","","","","","","","","","","","",""
"TM25S","2/19/2020","133.0","7.05","","31.0","4.00","3.53","7.04","","","","","","","","","","","","","","","","","","","","","","",""
"TM25ZF","2/19/2020","115.0","4.40","","26.0","","30.30","7.28","","","","","","","","","","","","","","","","","","","","","","",""
"TM30F","2/20/2020","180.0","0.70","","22.0","","42.50","8.52","","","","","","","","","","","","","","","","","","","","","","",""
"TM30S","2/20/2020","146.0","6.25","","30.3","3.00","3.08","7.47","","","","","","","","","","","","","","","","","","","","","","",""
"TM30ZF","2/20/2020","140.0","5.15","","27.2","","3.92","7.17","","","","","","","","","","","","","","","","","","","","","","",""
"TM35F","2/20/2020","160.0","0.49","","22.0","","1280.00","8.13","","","","","","","","","","","","","","","","","","","","","","",""
"TM35S","2/20/2020","134.0","5.36","","29.1","4.00","1.30","7.50","","","","","","","","","","","","","","","","","","","","","","",""
"TM35ZF","2/20/2020","140.0","4.85","","26.0","","34.00","6.59","","","","","","","","","","","","","","","","","","","","","","",""
"TM40F","2/20/2020","118.0","0.18","","23.0","","19.10","8.30","","","","","","","","","","","","","","","","","","","","","","",""
"TM40S","2/21/2020","61.1","6.10","","28.0","5.00","2.30","6.43","","","","","","","","","","","","","","","","","","","","","","",""
"TM40ZF","2/20/2020","90.0","5.66","","26.0","","1.31","7.60","","","","","","","","","","","","","","","","","","","","","","",""
"TM45S","2/18/2020","65.1","4.39","","25.2","","31.20","6.52","","","","","","","","","","","","","","","","","","","","","","",""
"TM50S","2/20/2020","79.9","7.40","","26.0","","21.70","6.62","","","","","","","","","","","","","","","","","","","","","","",""
"TM55S","2/18/2020","71.3","5.13","","25.8","","2300.00","5.35","","","","","","","","","","","","","","","","","","","","","","",""
"TM10S","5/5/2020","91.0","8.75","","24.1","","52.00","7.50","","","","","","","","","","","","","","","","","","","","","","",""
"TM15F","5/7/2020","69.0","0.20","","24.9","","27.00","7.50","","","","","","","","","","","","","","","","","","","","","","",""
"TM15S","5/7/2020","67.0","6.80","","26.0","3.00","5.65","7.23","","","","","","","","","","","","","","","","","","","","","","",""
"TM15ZF","5/7/2020","66.0","6.00","","25.9","","6.16","6.99","","","","","","","","","","","","","","","","","","","","","","",""
"TM20F","5/7/2020","68.9","3.10","","24.9","","33.10","7.52","","","","","","","","","","","","","","","","","","","","","","",""
"TM20S","5/7/2020","67.8","6.70","","26.0","3.00","6.60","7.40","","","","","","","","","","","","","","","","","","","","","","",""
"TM20ZF","5/7/2020","68.3","6.60","","25.4","","5.32","7.36","","","","","","","","","","","","","","","","","","","","","","",""
"TM25F","5/7/2020","68.0","3.45","","24.0","","92.00","7.38","","","","","","","","","","","","","","","","","","","","","","",""
"TM25S","5/7/2020","69.4","6.90","","26.3","2.50","6.73","7.44","","","","","","","","","","","","","","","","","","","","","","",""
"TM25ZF","5/7/2020","68.0","6.80","","18.0","","7.52","7.46","","","","","","","","","","","","","","","","","","","","","","",""
"TM30F","5/6/2020","72.3","5.96","","25.7","","7.27","7.38","","","","","","","","","","","","","","","","","","","","","","",""
"TM30S","5/6/2020","68.1","6.50","","26.6","2.60","5.10","7.30","","","","","","","","","","","","","","","","","","","","","","",""
"TM30ZF","5/6/2020","70.9","6.30","","26.4","","4.58","7.34","","","","","","","","","","","","","","","","","","","","","","",""
"TM35F","5/6/2020","62.5","0.30","","24.8","","6.33","7.61","","","","","","","","","","","","","","","","","","","","","","",""
"TM35S","5/6/2020","69.0","6.90","","26.1","4.00","3.78","7.47","","","","","","","","","","","","","","","","","","","","","","",""
"TM35ZF","5/6/2020","69.3","5.83","","25.9","","6.71","7.38","","","","","","","","","","","","","","","","","","","","","","",""
"TM40F","5/6/2020","46.6","0.00","","24.0","","59.20","6.95","","","","","","","","","","","","","","","","","","","","","","",""
"TM40S","5/6/2020","69.2","7.38","","26.7","4.75","3.99","7.36","","","","","","","","","","","","","","","","","","","","","","",""
"TM40ZF","5/6/2020","67.4","7.00","","26.3","","5.13","7.33","","","","","","","","","","","","","","","","","","","","","","",""
"TM45S","5/5/2020","88.0","6.55","","25.3","","54.90","7.26","","","","","","","","","","","","","","","","","","","","","","",""
"TM50S","5/5/2020","99.1","6.85","","26.1","","57.90","7.08","","","","","","","","","","","","","","","","","","","","","","",""
"TM55S","5/5/2020","98.0","6.51","","23.9","","20.90","7.02","","","","","","","","","","","","","","","","","","","","","","",""
"TM45S","4/28/2016","","5.9","","25.6","","","7.5","0.2","1.07","0.02","0.4","","","","3","","158","","","","","","","","","","","","",""
"TM50S","4/28/2016","","6.2","","24.2","","","7","0.2","1.07","0.07","0.5","","","","3","","177.9","","","","","","","","","","","","",""
"TM55S","4/28/2016","","8.6","","25","","","7.3","0.2","1.07","0.02","0.2","","","","3","","171.2","","","","","","","","","","","","",""
"TM40S","4/29/2016","","6.04","","27.1","","","7.63","0.2","1.07","0.02","0.3","","","","3","","122.5","","","","","","","","","","","","",""
"TM40F","4/29/2016","","0","","25.9","","","5.92","32","","","","","","","","","182.4","","","","","","","","","","","","",""
"TM40ZF","4/29/2016","","6","","27.1","","","7.5","3","","","","","","","","","131.4","","","","","","","","","","","","",""
"TM25ZF","5/3/2016","","5.78","","26.2","","","8","1","","","","","","","","","182.5","","","","","","","","","","","","",""
"TM25F","5/3/2016","","5.6","","25.2","","","7.15","1","","","","","","","","","204.5","","","","","","","","","","","","",""
"TM25S","5/3/2016","","6","","26.3","","","8.44","0.2","1.07","0.02","0.5","","","","","","176.6","","","","","","","","","","","","",""
"TM20ZF","5/3/2016","","7.86","","25.9","","","7","2","","","","","","","","","212.4","","","","","","","","","","","","",""
"TM20S","5/3/2016","","8","","26.4","","","7.8","0.2","1.07","0.02","0.3","","","","3","","209.2","","","","","","","","","","","","",""
"TM20F","5/3/2016","","7.06","","25.6","","","6.8","10","","","","","","","","","221.9","","","","","","","","","","","","",""
"TM15ZF","5/3/2016","","5.8","","25.7","","","6.6","2","","","","","","","","","225.3","","","","","","","","","","","","",""
"TM15F","5/3/2016","","6.1","","26.4","","","7.5","2","","","","","","","","","186.1","","","","","","","","","","","","",""
"TM15S","5/3/2016","","6.43","","27.2","","","7.4","0.2","1.07","0.02","0.3","","","","3.48","","191.8","","","","","","","","","","","","",""
"TM30F","5/4/2016","","6.1","","26.3","","","7.6","2","","","","","","","","","162.8","","","","","","","","","","","","",""
"TM30ZF","5/4/2016","","6.18","","26.3","","","7.7","2","","","","","","","","","162","","","","","","","","","","","","",""
"TM30S","5/4/2016","","6.18","","26.2","","","7.8","0.2","1.07","0.02","0.2","","","","3","","163.1","","","","","","","","","","","","",""
"TM35S","5/4/2016","","5.61","","26.7","","","7.95","0.2","1.07","0.02","0.2","","","","3","","161.9","","","","","","","","","","","","",""
"TM35ZF","5/4/2016","","5.5","","26.6","","","7.61","16","","","","","","","","","160.4","","","","","","","","","","","","",""
"TM35F","5/4/2016","","5.3","","26.3","","","7.2","16","","","","","","","","","174.9","","","","","","","","","","","","",""
"TM40F","8/23/2016","","0.92","","24.7","","","6.06","35","","","","","","","","","240.9","","","","","","","","","","","","",""
"TM40S","8/23/2016","","6.24","","25.9","","","7.7","0.2","1.07","0.02","0.6","11","30.1","0.29","3","69","162.3","0.025","1","10","0.1","26","2.5","14629.9","69","53.76","0.002","1.99","90","0.3"
"TM40ZF","8/23/2016","","6.22","","26.1","","","7.52","4.5","","","","","","","","","170.7","","","","","","","","","","","","",""
"TM55S","8/23/2016","","7.63","","24.1","","","8.02","0.2","1.07","0.02","0.4","11","36","0.02","3.63","63","141","0.025","6","10","0.1","26","2.5","261.25","63","51.02","0.002","1","87","0.3"
"TM45S","8/23/2016","","8.02","","24.9","","","8.08","0.2","1.07","0.02","1.1","11","29.8","0.73","3","41","119","0.025","24","10","0.1","26","2.5","13944.1","41","51.02","0.002","1.89","78","0.3"
"TM50S","8/23/2016","","7.1","","26.3","","","8.18","0.2","2.14","0.02","0.7","11","29.4","0.32","3","44","124","0.025","12","10","0.1","26","2.5","14172.7","44","54.02","0.002","5.59","84","0.3"
"TM30S","8/24/2016","","7.21","","26.1","","","8.06","0.2","1.07","0.02","0.5","11","30.8","0.16","3","49.5","169","0.025","1","13","0.1","26","2.5","33134.2","49","53.76","0.002","1.44","90","0.3"
"TM30ZF","8/24/2016","","7.03","","26.2","","","7.87","2.25","","","","","","","","","172","","","","","","","","","","","","",""
"TM30F","8/24/2016","","6.97","","26.1","","","7.9","4","","","","","","","","","177","","","","","","","","","","","","",""
"TM25F","8/25/2016","","6.72","","25.9","","","7.28","15","","","","","","","","","190","","","","","","","","","","","","",""
"TM25ZF","8/25/2016","","6.97","","26.3","","","7.97","3","","","","","","","","","167","","","","","","","","","","","","",""
"TM25S","8/25/2016","","7.11","","26.5","","","8.07","0.2","1.07","0.02","0.5","11","32","0.02","3","53","145","0.025","8","10","0.1","26","2.5","0","53","53.76","0.002","1","87","0.3"
"TM20F","8/25/2016","","5.91","","24.2","","","6.99","10","","","","","","","","","191","","","","","","","","","","","","",""
"TM20S","8/25/2016","","6.53","","26","","","7.92","0.2","1.07","0.02","1.4","11","35","1.02","3","57","152","0.03","5","11","0.1","26","2.5","0","57","53.76","0.002","1.13","85","0.3"
"TM20ZF","8/25/2016","","6.49","","25.8","","","7.38","3","","","","","","","","","154","","","","","","","","","","","","",""
"TM15ZF","8/25/2016","","8.01","","26.1","","","8.09","3","","","","","","","","","175.5","","","","","","","","","","","","",""
"TM15F","8/25/2016","","7.1","","25.5","","","7.19","10","","","","","","","","","201.2","","","","","","","","","","","","",""
"TM35ZF","8/25/2016","","6.82","","26.1","","","7.93","3","","","","","","","","","153","","","","","","","","","","","","",""
"TM35F","8/25/2016","","5.96","","25.1","","","7.01","14","","","","","","","","","196","","","","","","","","","","","","",""
"TM35S","8/25/2016","","7.06","","26.6","","","8.51","0.2","1.07","0.02","0.4","11","29.9","0.11","3","52","148","0.025","1","10","0.1","26","2.5","18385.3","52","53.76","0.002","1.32","90","0.3"
"TM55S","11/8/2016","","7.35","","25.3","","","8.8","0.2","1.07","0.09","0.9","","","","3","","116.5","","","","","","","","","54.93","","","",""
"TM45S","11/8/2016","","5.63","","25.7","","","7.86","0.2","1.07","0.02","0.6","","","","3","","130.7","","","","","","","","","51.02","","","",""
"TM50S","11/8/2016","","6.44","","25.5","","","8","0.2","1.07","0.02","0.7","","","","3","","144","","","","","","","","","51.02","","","",""
"TM40F","11/8/2016","","0","","23.7","","","7","29","","","","","","","","","150.4","","","","","","","","","","","","",""
"TM40S","11/8/2016","","7.29","","28","","","8.32","0.2","1.07","0.02","0.6","","","","3","","121.9","","","","","","","","","53.76","","","",""
"TM40ZF","11/8/2016","","7.25","","27.6","","","8.31","3","","","","","","","","","121.4","","","","","","","","","","","","",""
"TM15F","11/8/2016","","1.68","","26.1","","","7.34","10","","","","","","","","","172.1","","","","","","","","","","","","",""
"TM15ZF","11/8/2016","","7.5","","27.3","","","8.41","2.25","","","","","","","","","163.2","","","","","","","","","","","","",""
"TM15S","11/8/2016","","7.62","","28.9","","","8.44","0.2","1.07","0.02","0.2","","","","3","","166.1","","","","","","","","","53.76","","","",""
"TM30F","11/8/2016","","7.31","","29.3","","","8.41","3","","","","","","","","","108.6","","","","","","","","","","","","",""
"TM30ZF","11/8/2016","","7.71","","29.8","","","8.55","1.5","","","","","","","","","102.5","","","","","","","","","","","","",""
"TM30S","11/8/2016","","7.72","","30.9","","","8.53","0.2","1.07","0.02","0.4","","","","3","","102.1","","","","","","","","","53.76","","","",""
"TM25ZF","11/9/2016","","7.33","","26.9","","","8.32","2.25","","","","","","","","","100.5","","","","","","","","","","","","",""
"TM25F","11/9/2016","","0","","25.1","","","7.16","12","","","","","","","","","127.9","","","","","","","","","","","","",""
"TM25S","11/9/2016","","7.48","","27.2","","","8.44","0.2","1.07","0.02","0.4","","","","3","","98.7","","","","","","","","","53.76","","","",""
"TM20ZF","11/9/2016","","6.21","","27.3","","","7.8","1.5","","","","","","","","","145.4","","","","","","","","","","","","",""
"TM20S","11/9/2016","","6.4","","27.5","","","7.95","0.2","1.07","0.02","0.8","","","","3","","150.5","","","","","","","","","53.76","","","",""
"TM20F","11/9/2016","","3.01","","26","","","7.41","8","","","","","","","","","134.5","","","","","","","","","","","","",""
"TM35S","11/9/2016","","7.4","","31.2","","","8.45","0.2","1.07","0.02","0.2","","","","3","","128.1","","","","","","","","","53.76","","","",""
"TM35ZF","11/9/2016","","7.49","","28","","","8.39","3","","","","","","","","","128.8","","","","","","","","","","","","",""
"TM35F","11/9/2016","","0","","25.1","","","6.89","13","","","","","","","","","154.5","","","","","","","","","","","","",""
"TM45S","2/14/2017","","7.68","","25","","","6.86","0.2","1.07","0.02","0.1","15","29.6","0.05","3","72.5","89","0.19","165","27","0.39","26","2.5","","87","51","0.002","1.78","74","0.3"
"TM55S","2/14/2017","","7.44","","25.5","","","7.63","0.2","1.78","0.22","0.2","291","18.9","0.16","3","50","83","0.19","11600","111","0.99","39","2.5","","341","59.5","0.002","2.72","46","0.3"
"TM50S","2/14/2017","","7.72","","26.4","","","7.08","0.2","1.07","0.06","0.2","37","30","0.06","3.1","85.5","47","0.22","100","23","0.56","26","2.5","","122","53.9","0.002","11.4","72","0.3"
"TM30S","2/16/2017","","6.38","","28.6","","","7.91","0.2","1.07","0.03","0.2","11","33.5","0.03","3","84","100","0.025","1","11","0.1","26","2.5","","84","54.9","0.002","2.52","90","0.3"
"TM30F","2/16/2017","","6.19","","26.7","","","7.83","6","","","","","","","","","95","","","","","","","","","","","","",""
"TM30ZF","2/16/2017","","6.38","","28.5","","","7.9","1.5","","","","","","","","","99","","","","","","","","","","","","",""
