PONTO,DATA,Clorofila a,Transparência da Água,Sólidos Dissolvidos,Sólidos Dissolvidos Totais,Sólidos Sedimentáveis,Sólidos Suspensos Totais,Sólidos Totais,Turbidez
CLA-04,2022-07-02,8.678,1.5,,22.0,,,32.0,3.55
CLA-05,2022-07-02,17.355,0.5,,62.0,,,70.0,2.83
CLA-06,2022-07-02,1.0,1.5,,26.0,,,30.0,5.8
CLA-06B,2022-07-02,1.0,2.0,,18.0,,,22.0,3.31
CLA-07,2022-07-02,1.335,3.0,,18.0,,,20.0,3.36
CLA-08,2022-07-02,1.0,1.8,,20.0,,,30.0,6.63
CLA-08CS,2022-07-02,4.673,1.5,,20.0,,,24.0,1.89
CLA-09,2022-07-02,10.68,0.7,,20.0,,,22.0,2.82
CLA-ETE,2022-07-02,1.0,,,98.0,0.5,10.0,102.0,3.43
CLA-01,2022-10-04,1.0,1.5,,16.0,,,22.0,7.13
CLA-02,2022-10-04,1.0,2.0,,14.0,,,20.0,4.42
CLA-03,2022-10-04,1.0,2.0,,12.0,,,18.0,2.21
CLA-04,2022-10-04,1.0,1.5,,16.0,,,22.0,3.65
CLA-05,2022-10-04,1.0,1.5,,386.0,,,402.0,8.31
CLA-06,2022-10-04,1.0,2.9,,16.0,,,24.0,2.23
CLA-06B,2022-10-04,1.001,2.5,,16.0,,,22.0,2.36
CLA-07,2022-10-04,1.0,2.5,,16.0,,,20.0,1.27
CLA-08,2022-10-04,1.252,1.2,,28.0,,,34.0,12.8
CLA-08CS,2022-10-04,6.675,2.5,,16.0,,,22.0,3.28
CLA-09,2022-10-04,2.67,0.6,,16.0,,,20.0,2.09
CLA-ETE,2022-10-04,28.369,,,24.0,0.3,10.0,24.0,3.66
CLA-01,2023-01-15,1.0,0.2,,14.0,,,196.0,68.9
CLA-02,2023-01-15,16.688,0.2,,14.0,,,204.0,77.9
CLA-03,2023-01-15,1.0,0.4,,14.0,,,106.0,35.4
CLA-04,2023-01-15,1.0,0.4,,14.0,,,54.0,60.9
CLA-05,2023-01-15,1.0,0.3,,100.0,,,120.0,21.3
CLA-06,2023-01-15,4.45,0.26,,14.0,,,16.0,57.1
CLA-06B,2023-01-15,1.0,0.35,,14.0,,,28.0,54.9
CLA-07,2023-01-15,1.0,0.65,,16.0,,,26.0,22.4
CLA-08,2023-01-15,2.67,1.0,,16.0,,,124.0,13.8
CLA-08CS,2023-01-15,1.0,0.8,,16.0,,,100.0,14.6
CLA-09,2023-01-15,1.0,0.3,,16.0,,,42.0,18.6
CLA-ETE,2023-01-15,230.288,,,206.0,0.7,24.0,248.0,61.5
CLA-01,2023-04-10,2.57,1.3,,19.39,,,62.0,1.06
CLA-02,2023-04-10,1.08,1.4,,19.0,,,57.0,14.66
CLA-03,2023-04-10,4.37,1.2,,18.34,,,52.0,7.02
CLA-04,2023-04-10,0.42,0.75,,19.45,,,25.0,26.7
CLA-05,2023-04-10,0.05,0.4,,95.49,,,50.0,11.2
CLA-06,2023-04-10,1.95,1.1,,23.12,,,25.0,18.55
CLA-06B,2023-04-10,6.26,1.4,,101.08,,,25.0,22.2
CLA-07,2023-04-10,2.27,1.3,,19.31,,,52.0,20.5
CLA-08,2023-04-10,1.88,1.5,,20.07,,,25.0,20.3
CLA-08CS,2023-04-10,0.2,1.4,,18.73,,,25.0,18.13
CLA-09,2023-04-10,0.05,0.8,,17.32,,,25.0,23.6
CLA-ETE,2023-04-10,86.11,0.5,,55.0,0.7,25.0,66.0,18.38
CLA-01,2023-07-25,1.0,1.6,,14.0,,,26.0,6.19
CLA-02,2023-07-25,1.0,3.0,,16.0,,,38.0,3.47
CLA-03,2023-07-25,1.0,3.2,,16.0,,,28.0,1.62
CLA-04,2023-07-25,1.0,3.5,,16.0,,,22.0,2.83
CLA-05,2023-07-25,1.0,3.0,,124.0,,,136.0,5.48
CLA-06,2023-07-25,1.0,2.5,,20.0,,,88.0,2.04
CLA-06B,2023-07-25,2.67,3.0,,18.0,,,42.0,4.21
CLA-07,2023-07-25,1.0,2.5,,18.0,,,30.0,2.87
CLA-08,2023-07-25,1.0,3.0,,20.0,,,50.0,2.43
CLA-08CS,2023-07-25,1.0,2.5,,18.0,,,98.0,2.26
CLA-09,2023-07-25,1.0,0.8,,18.0,,,30.0,2.92
CLA-ETE,2023-07-25,1.0,0.6,,24.0,0.1,10.0,38.0,5.48
CLA-01,2023-10-04,3.004,1.0,,18.0,,,24.0,17.7
CLA-02,2023-10-04,1.0,2.0,,18.0,,,24.0,3.14
CLA-03,2023-10-04,5.34,2.0,,18.0,,,22.0,3.19
CLA-04,2023-10-04,3.671,4.0,,266.0,,,350.0,2.58
CLA-05,2023-10-04,1.0,1.5,,294.0,,,306.0,9.17
CLA-06,2023-10-04,7.676,4.0,,22.0,,,30.0,3.15
CLA-06B,2023-10-04,1.0,5.0,,20.0,,,28.0,1.29
CLA-07,2023-10-04,3.338,4.0,,20.0,,,38.0,2.65
CLA-08,2023-10-04,1.0,5.0,,22.0,,,34.0,1.75
CLA-08CS,2023-10-04,1.0,4.5,,20.0,,,28.0,1.41
CLA-01,2024-01-20,1.0,0.7,,14.0,,,16.0,22.3
CLA-02,2024-01-20,1.0,1.0,,14.0,,,70.0,10.4
CLA-03,2024-01-20,1.669,1.4,,14.0,,,64.0,8.0
CLA-04,2024-01-20,3.338,2.5,,16.0,,,46.0,19.8
CLA-05,2024-01-20,1.0,0.5,,146.0,,,158.0,17.2
CLA-06,2024-01-20,1.0,0.9,,16.0,,,40.0,17.5
